airf_names;airf_links;airf_date;airf_latitude;airf_longitude;airf_com;airf_runway;airf_runwaytype;airf_runway_length;airf_runway_width
Flughafen Berlin-Tempelhof;/wiki/Flughafen_Berlin-Tempelhof;1923;52.473586;13.401583;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;1840 × 43;A;1840;43
Flugplatz Broitzem;/wiki/Luftpost_Braunschweig;1917;52.245;10.493;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;;;;
August-Euler-Flugplatz;/wiki/August-Euler-Flugplatz;1908;49.856111;8.591944;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;1100 × 20;A;1100;20
Dortmund-Brackel;/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;1926;51.516667;7.55;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;1100 × 80;B;1100;80
Erfurt (Am Roten Berg);/wiki/Flughafen_Erfurt-Weimar#Geschichte;1925;50.979811;10.958106;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;730;G;730;
Frankfurt-Rebstock;/wiki/Frankfurt-Rebstock#Der_erste_Frankfurter_Flughafen;1912;50.110653;8.613939;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;;;;
Flugplatz Fürstenwalde;/wiki/Flugplatz_Fürstenwalde;1915;52.389722;14.095833;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;1200 × 45;B;1200;45
Hannover-Vahrenwald;/wiki/Flughafen_Hannover-Langenhagen#Vorgeschichte;1928;52.461056;9.685078;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;;;;
Köln-Butzweilerhof;/wiki/Flughafen_Köln-Butzweilerhof;1926;50.980511;6.896939;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;980;B;980;
Leipzig-Mockau;/wiki/Flughafen_Leipzig-Mockau;1913;51.395556;12.409722;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;1560 × 45;B;1560;45
Flugplatz Meiningen;/wiki/Flugplatz_Meiningen;1927;50.569444;10.447222;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;770;G;770;
München-Oberwiesenfeld;/wiki/Oberwiesenfeld#Flugplatz;1925;48.1735;11.550917;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;700;B;700;
Stuttgart-Böblingen;/wiki/Flughafen_Böblingen;1925;48.689872;8.994194;scraped manually from https://de.wikipedia.org/wiki/Liste_der_ehemaligen_Verkehrsflugh%C3%A4fen_in_Deutschland;;G;;
Devau-Königsberg;/wiki/Flughafen_Devau;1921;54.725;20.573333;scraped manually from https://de.wikipedia.org/wiki/Kategorie:Ehemaliger_Flugplatz;1400;S;1400;
Dresden-Heller;/wiki/Heller_(Dresden)#Flughafen_Dresden-Heller;1925;51.097778;13.749444;scraped manually from https://de.wikipedia.org/wiki/Kategorie:Ehemaliger_Flugplatz;;;;
Flughafen Gießen;/wiki/Flughafen_Gießen;1925;50.593443;8.727332;scraped manually from https://de.wikipedia.org/wiki/Kategorie:Ehemaliger_Flugplatz;;;;
Kassel-Waldau;/wiki/Flugplatz_Kassel-Waldau;1924;51.280833;9.505278;scraped manually from https://de.wikipedia.org/wiki/Kategorie:Ehemaliger_Flugplatz;;;;
Langerfeld;/wiki/Flugplatz_Langerfeld;1926;51.281917;7.266694;scraped manually from https://de.wikipedia.org/wiki/Kategorie:Ehemaliger_Flugplatz;;;;
