names;links;date;latitude;longitude;com;manual_research
Biberach a.d. Riß;/wiki/Flugplatz_Biberach_a.d._Ri%C3%9F;1903;48.111;9.762833333;;NO
Borkum;/wiki/Flugplatz_Borkum;1902;53.5955;6.709166667;;YES
Freiburg i. Br.;/wiki/Flugplatz_Freiburg;1907;48.02265278;7.832583333;;YES
Husum-Schwesing;/wiki/Flugplatz_Husum-Schwesing;1930;54.50944444;9.136944444;;NO
Krefeld-Egelsberg;/wiki/Flugplatz_Krefeld-Egelsberg;1920;51.385;6.587777778;;NO
Merseburg;/wiki/Flugplatz_Merseburg;1925;51.36194444;11.95055556;;YES
Neuhardenberg;/wiki/Flugplatz_Neuhardenberg;1930;52.613;14.24266667;;NO
Neumagen-Dhron;/wiki/Flugplatz_Neumagen-Dhron;1900;49.8425;6.916388889;;NO
Norden-Norddeich;/wiki/Flugplatz_Norden-Norddeich;1902;53.633128;7.190278;;NO
Nordhorn-Lingen;/wiki/Flugplatz_Nordhorn-Lingen;1913;52.45777778;7.175833333;;YES
Rechlin-Lärz;/wiki/Flugplatz_Rechlin-L%C3%A4rz;1916;53.30641667;12.75313889;;YES
Speyer;/wiki/Flugplatz_Speyer;1913;49.30483333;8.4515;;YES
Stade;/wiki/Flugplatz_Stade;1930;53.56111111;9.499027778;;NO
Stölln/Rhinow;/wiki/Flugplatz_St%C3%B6lln/Rhinow;1910;52.74083333;12.39;;YES
Taucha;/wiki/Flugplatz_Taucha;1928;51.39466667;12.53683333;;NO
Wangerooge;/wiki/Flugplatz_Wangerooge;1920;53.78888889;7.916666667;;YES
Wolfhagen „Graner Berg“;/wiki/Flugplatz_Wolfhagen-Graner_Berg;1905;51.30716667;9.174027778;;NO
