krnr;lfnr;agglvl;name;name_neu;lat;long;lat_median;long_median
1;1;KREISE M.GEMEINDEN >;FRIEDLAND -27/BARTENSTEIN;Prawdinsk;54.4413138;21.0119816;54.4344348;21.0119816
1;2;GEMEINDEN AB 2000 E.;BARTENSTEIN;Bartoszyce;54.2533;20.80806;54.4344348;21.0119816
1;3;GEMEINDEN AB 2000 E.;DOMNAU;Domnowo;54.4275558;20.8269173;54.4344348;21.0119816
1;4;GEMEINDEN AB 2000 E.;FRIEDLAND I. OSTPR.;Prawdinsk;54.4413138;21.0119816;54.4344348;21.0119816
1;5;GEMEINDEN AB 2000 E.;SCHIPPENBEIL;Sepopol;54.2690259;21.0143446;54.4344348;21.0119816
1;6;RESTKREISE (GEM.< 20;REST-FRIEDLAND -27/BARTENSTEIN;Prawdinsk;54.4344348;21.0119816;54.4344348;21.0119816
2;7;KREISE M.GEMEINDEN >;BRAUNSBERG;Braniewo;54.3797128;19.8200536;54.36859525;19.8200536
2;8;GEMEINDEN AB 2000 E.;BRAUNSBERG I. OSTPR.;Braniewo;54.3797128;19.8200536;54.36859525;19.8200536
2;9;GEMEINDEN AB 2000 E.;FRAUENBURG;Frombork;54.3574777;19.6800723;54.36859525;19.8200536
2;10;GEMEINDEN AB 2000 E.;MEHLSACK;Pieniezno;54.236292;20.1285899;54.36859525;19.8200536
2;11;GEMEINDEN AB 2000 E.;WORMDITT;Orneta;54.11538;20.13023;54.36859525;19.8200536
2;12;RESTKREISE (GEM.< 20;REST-BRAUNSBERG;Braniewo;54.36859525;19.8200536;54.36859525;19.8200536
3;13;KREISE M.GEMEINDEN >;ELBING  L;Elblag;54.1560613;19.4044897;54.1560613;19.4044897
3;14;GEMEINDEN AB 2000 E.;TOLKEMIT;Tolkmicko;54.3202047;19.5273042;54.1560613;19.4044897
3;15;RESTKREISE (GEM.< 20;REST-ELBING  L;Elblag;54.1560613;19.4044897;54.1560613;19.4044897
4;16;stadtkreise;ELBING  S;Elblag;54.1560613;19.4044897;54.1560613;19.4044897
5;17;KREISE M.GEMEINDEN >;FISCHHAUSEN;Primorsk, Kaliningrad Oblast;54.733333;20.016667;54.733333;20.016667
5;18;GEMEINDEN AB 2000 E.;FISCHHAUSEN;Primorsk, Kaliningrad Oblast;54.733333;20.016667;54.733333;20.016667
5;19;GEMEINDEN AB 2000 E.;PILLAU;Baltijsk;54.6591222;19.9228947;54.733333;20.016667
5;20;GEMEINDEN AB 2000 E.;CRANZ;Selenogradsk;54.9562342;20.4747023;54.733333;20.016667
5;21;GEMEINDEN AB 2000 E.;PALMNICKEN;Jantarny;54.8703881;19.9426345;54.733333;20.016667
5;22;GEMEINDEN AB 2000 E.;RAUSCHEN;Swetlogorsk;54.9394562;20.1584705;54.733333;20.016667
