"varnames_orig","varnames_replace"
"speech_may28_5km","visit_5km1"
"speech_may28_10km","visit_10km1"
"speech_may28_25km","visit_25km1"
"speech_may28_50km","visit_50km1"
"speech_sep30_5km","visit_5km2"
"speech_sep30_10km","visit_10km2"
"speech_sep30_25km","visit_25km2"
"speech_sep30_50km","visit_50km2"
"speech_jul32_5km","visit_5km3"
"speech_jul32_10km","visit_10km3"
"speech_jul32_25km","visit_25km3"
"speech_jul32_50km","visit_50km3"
"speech_nov32_5km","visit_5km4"
"speech_nov32_10km","visit_10km4"
"speech_nov32_25km","visit_25km4"
"speech_nov32_50km","visit_50km4"
"speech_mar33_5km","visit_5km5"
"speech_mar33_10km","visit_10km5"
"speech_mar33_25km","visit_25km5"
"speech_mar33_50km","visit_50km5"
"speech_mar32_5km","visit_5km6"
"speech_mar32_10km","visit_10km6"
"speech_mar32_25km","visit_25km6"
"speech_mar32_50km","visit_50km6"
"speech_apr32_5km","visit_5km7"
"speech_apr32_10km","visit_10km7"
"speech_apr32_25km","visit_25km7"
"speech_apr32_50km","visit_50km7"
"speech_may28_2w_5km","visit_2w_5km1"
"speech_may28_2w_10km","visit_2w_10km1"
"speech_may28_2w_25km","visit_2w_25km1"
"speech_may28_2w_50km","visit_2w_50km1"
"speech_may28_4w_5km","visit_4w_5km1"
"speech_may28_4w_10km","visit_4w_10km1"
"speech_may28_4w_25km","visit_4w_25km1"
"speech_may28_4w_50km","visit_4w_50km1"
"speech_may28_8w_5km","visit_8w_5km1"
"speech_may28_8w_10km","visit_8w_10km1"
"speech_may28_8w_25km","visit_8w_25km1"
"speech_may28_8w_50km","visit_8w_50km1"
"speech_may28_12w_5km","visit_12w_5km1"
"speech_may28_12w_10km","visit_12w_10km1"
"speech_may28_12w_25km","visit_12w_25km1"
"speech_may28_12w_50km","visit_12w_50km1"
"speech_sep30_2w_5km","visit_2w_5km2"
"speech_sep30_2w_10km","visit_2w_10km2"
"speech_sep30_2w_25km","visit_2w_25km2"
"speech_sep30_2w_50km","visit_2w_50km2"
"speech_sep30_4w_5km","visit_4w_5km2"
"speech_sep30_4w_10km","visit_4w_10km2"
"speech_sep30_4w_25km","visit_4w_25km2"
"speech_sep30_4w_50km","visit_4w_50km2"
"speech_sep30_8w_5km","visit_8w_5km2"
"speech_sep30_8w_10km","visit_8w_10km2"
"speech_sep30_8w_25km","visit_8w_25km2"
"speech_sep30_8w_50km","visit_8w_50km2"
"speech_sep30_12w_5km","visit_12w_5km2"
"speech_sep30_12w_10km","visit_12w_10km2"
"speech_sep30_12w_25km","visit_12w_25km2"
"speech_sep30_12w_50km","visit_12w_50km2"
"speech_jul32_2w_5km","visit_2w_5km3"
"speech_jul32_2w_10km","visit_2w_10km3"
"speech_jul32_2w_25km","visit_2w_25km3"
"speech_jul32_2w_50km","visit_2w_50km3"
"speech_jul32_4w_5km","visit_4w_5km3"
"speech_jul32_4w_10km","visit_4w_10km3"
"speech_jul32_4w_25km","visit_4w_25km3"
"speech_jul32_4w_50km","visit_4w_50km3"
"speech_jul32_8w_5km","visit_8w_5km3"
"speech_jul32_8w_10km","visit_8w_10km3"
"speech_jul32_8w_25km","visit_8w_25km3"
"speech_jul32_8w_50km","visit_8w_50km3"
"speech_jul32_12w_5km","visit_12w_5km3"
"speech_jul32_12w_10km","visit_12w_10km3"
"speech_jul32_12w_25km","visit_12w_25km3"
"speech_jul32_12w_50km","visit_12w_50km3"
"speech_nov32_2w_5km","visit_2w_5km4"
"speech_nov32_2w_10km","visit_2w_10km4"
"speech_nov32_2w_25km","visit_2w_25km4"
"speech_nov32_2w_50km","visit_2w_50km4"
"speech_nov32_4w_5km","visit_4w_5km4"
"speech_nov32_4w_10km","visit_4w_10km4"
"speech_nov32_4w_25km","visit_4w_25km4"
"speech_nov32_4w_50km","visit_4w_50km4"
"speech_nov32_8w_5km","visit_8w_5km4"
"speech_nov32_8w_10km","visit_8w_10km4"
"speech_nov32_8w_25km","visit_8w_25km4"
"speech_nov32_8w_50km","visit_8w_50km4"
"speech_nov32_12w_5km","visit_12w_5km4"
"speech_nov32_12w_10km","visit_12w_10km4"
"speech_nov32_12w_25km","visit_12w_25km4"
"speech_nov32_12w_50km","visit_12w_50km4"
"speech_mar33_2w_5km","visit_2w_5km5"
"speech_mar33_2w_10km","visit_2w_10km5"
"speech_mar33_2w_25km","visit_2w_25km5"
"speech_mar33_2w_50km","visit_2w_50km5"
"speech_mar33_4w_5km","visit_4w_5km5"
"speech_mar33_4w_10km","visit_4w_10km5"
"speech_mar33_4w_25km","visit_4w_25km5"
"speech_mar33_4w_50km","visit_4w_50km5"
"speech_mar33_8w_5km","visit_8w_5km5"
"speech_mar33_8w_10km","visit_8w_10km5"
"speech_mar33_8w_25km","visit_8w_25km5"
"speech_mar33_8w_50km","visit_8w_50km5"
"speech_mar33_12w_5km","visit_12w_5km5"
"speech_mar33_12w_10km","visit_12w_10km5"
"speech_mar33_12w_25km","visit_12w_25km5"
"speech_mar33_12w_50km","visit_12w_50km5"
